                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                 1.7738,                 2.2652,                 1.1686,                 1.4911,                0.02238,                0.22727,                0.01524,                0.00639,                0.02632,                0.04545,                0.01069,                  0.003,                 2.6174,                 24.722,                 74.467,                 3.1078,             0.00096996,             0.00096996,             0.00096996
                     41,                  1.774,                  2.526,                  1.368,                 1.4792,                    0.4,                0.18182,                0.13002,                0.03592,                    0.2,                0.09091,                0.03844,                0.00774,                 2.4468,                 22.555,                 42.241,                 2.7269,             0.00097848,             0.00097848,             0.00097848
                     42,                 1.6299,                 2.2235,                 1.2528,                 1.4012,                0.14286,                0.04545,                0.03202,                0.01461,                0.14286,                0.04545,                0.01461,                 0.0043,                 2.7312,                 29.946,                 58.116,                 2.9341,             0.00098621,             0.00098621,             0.00098621
                     43,                 1.5516,                 2.0947,                 1.1605,                 1.3583,                0.14286,                0.04545,                0.03202,                0.01461,                0.14286,                0.04545,                0.01461,                 0.0043,                 2.7312,                 29.946,                 58.116,                 2.9341,             0.00099314,             0.00099314,             0.00099314
                     44,                 1.5467,                 2.1441,                 1.1866,                 1.4137,                0.04878,                0.09091,                0.01611,                0.00495,                0.04878,                0.09091,                0.01409,                0.00304,                 2.9611,                 25.751,                 74.409,                  3.353,             0.00099928,             0.00099928,             0.00099928
                     45,                 1.6402,                  2.216,                 1.0734,                 1.3837,                0.04878,                0.09091,                0.01611,                0.00495,                0.04878,                0.09091,                0.01409,                0.00304,                 2.9611,                 25.751,                 74.409,                  3.353,              0.0010046,              0.0010046,              0.0010046
                     46,                 1.5844,                 2.3144,                 1.1186,                 1.4631,                0.06863,                0.22727,                0.07018,                0.03105,                0.17156,                0.13636,                0.06467,                0.02064,                 2.4798,                 22.335,                 33.014,                  2.412,              0.0010092,              0.0010092,              0.0010092
                     47,                 1.5381,                 2.1229,                 1.1147,                 1.3626,                0.06863,                0.22727,                0.07018,                0.03105,                0.17156,                0.13636,                0.06467,                0.02064,                 2.4798,                 22.335,                 33.014,                  2.412,               0.001013,               0.001013,               0.001013
                     48,                 1.5497,                 2.1517,                  1.058,                 1.3401,                0.32002,                0.40909,                0.24552,                0.07521,                0.21068,                0.27273,                0.13509,                0.02212,                 2.3676,                 11.424,                 7.6214,                 2.2258,              0.0010159,              0.0010159,              0.0010159
                     49,                   1.49,                 2.2271,                 1.0093,                 1.3308,                0.32002,                0.40909,                0.24552,                0.07521,                0.21068,                0.27273,                0.13509,                0.02212,                 2.3676,                 11.424,                 7.6214,                 2.2258,              0.0010181,              0.0010181,              0.0010181
